year,topic,papers,decisions,acceptance_rate,reviewed,mean_score,mean_disagreement,high_disagreement_rate
2024,LLMs,454,454,0.3458149779735683,443,5.304966139954853,1.073542709682441,0.1013215859030837
2024,RL,271,271,0.3025830258302583,268,5.063930348258707,1.0201997563156078,0.12177121771217712
2024,RNNs,34,34,0.38235294117647056,34,5.261274509803921,1.0156340030535542,0.08823529411764706
2024,ViTs,45,45,0.28888888888888886,45,5.125291005291006,1.0268950396785497,0.08888888888888889
2024,active learning,30,30,0.26666666666666666,28,4.935714285714285,0.9439484555902249,0.1
2024,adversarial,182,182,0.24725274725274726,177,5.058299704062416,1.0167018327829616,0.1043956043956044
2024,alignment,57,57,0.42105263157894735,57,5.491228070175438,1.0276389614789023,0.10526315789473684
2024,anomaly detection,32,32,0.125,32,4.747395833333333,0.8249106748913029,0.03125
2024,autoencoders,46,46,0.2608695652173913,46,4.899275362318841,0.9410197366761947,0.06521739130434782
2024,autonomous driving,26,26,0.3076923076923077,26,5.1506410256410255,0.8671067322155666,0.0
2024,causality,86,86,0.3023255813953488,84,5.221031746031746,1.0154041546687884,0.06976744186046512
2024,clustering,20,20,0.2,20,4.9625,1.1515572708663322,0.2
2024,code generation,37,37,0.43243243243243246,37,5.642342342342343,1.0067133256545606,0.05405405405405406
2024,compression,44,44,0.29545454545454547,44,5.1886363636363635,1.0574362425500263,0.13636363636363635
2024,continual learning,101,101,0.18811881188118812,100,4.782,1.021271691764332,0.06930693069306931
2024,diffusion models,336,336,0.39880952380952384,332,5.398192771084338,0.9141615588197844,0.05357142857142857
2024,explainability,79,79,0.17721518987341772,76,4.834210526315789,1.0588745959979025,0.10126582278481013
2024,fairness,55,55,0.2909090909090909,54,5.110493827160493,1.0747876054577636,0.10909090909090909
2024,federated learning,118,118,0.19491525423728814,117,4.937037037037037,1.047570857635834,0.1016949152542373
2024,few-shot learning,22,22,0.18181818181818182,22,5.046969696969697,0.9413679933138817,0.09090909090909091
2024,graphs,274,274,0.2591240875912409,268,4.960181236673774,1.0612537966769466,0.10948905109489052
2024,imitation learning,35,35,0.42857142857142855,35,5.326190476190476,1.0043157845744362,0.05714285714285714
2024,in-context learning,63,63,0.3333333333333333,63,5.247883597883598,0.9172603995639584,0.09523809523809523
2024,interpretability,55,55,0.2727272727272727,53,5.177044025157232,1.0745285211616653,0.10909090909090909
2024,knowledge distillation,52,52,0.25,51,4.927124183006536,0.9535198913230525,0.038461538461538464
2024,knowledge graphs,23,23,0.34782608695652173,23,4.978985507246377,1.0480101985455326,0.08695652173913043
2024,language models,227,227,0.3832599118942731,223,5.422272047832586,1.090724336606311,0.12334801762114538
2024,meta learning,42,42,0.3333333333333333,42,4.912698412698413,0.9905241141640266,0.07142857142857142
2024,model-based RL,20,20,0.4,20,5.7316666666666665,1.099624464259811,0.1
2024,multi-agent RL,45,45,0.24444444444444444,44,4.9170454545454545,1.0325001486803413,0.08888888888888889
2024,multi-task learning,27,27,0.37037037037037035,27,5.300617283950618,1.0957801607041346,0.14814814814814814
2024,neural architecture search,26,26,0.11538461538461539,26,4.7525641025641026,1.0299650543895453,0.07692307692307693
2024,neuroscience,29,29,0.3103448275862069,29,5.417241379310345,1.1342210789257485,0.1724137931034483
2024,object detection,55,55,0.16363636363636364,55,4.911515151515151,0.9542939891112077,0.05454545454545454
2024,offline RL,73,73,0.3561643835616438,73,5.301141552511416,1.0292027356175348,0.0684931506849315
2024,optimal transport,37,37,0.43243243243243246,37,5.423873873873874,0.9825386442825359,0.13513513513513514
2024,optimization,199,199,0.35175879396984927,190,5.302280701754386,1.115749552874227,0.15577889447236182
2024,out-of-distribution,97,97,0.28865979381443296,95,5.127017543859649,1.0107142349979288,0.12371134020618557
2024,privacy,74,74,0.3108108108108108,73,5.2878995433789955,1.1047645827070707,0.13513513513513514
2024,pruning,48,48,0.4166666666666667,48,5.233680555555556,1.1172473013669304,0.1875
2024,robustness,45,45,0.3111111111111111,43,5.286821705426357,0.987386534128264,0.13333333333333333
2024,safety,37,37,0.5405405405405406,36,5.496759259259259,1.0240606124241118,0.02702702702702703
2024,self-supervised learning,167,167,0.3473053892215569,163,5.173721881390593,1.002939383046316,0.0658682634730539
2024,semi-supervised learning,38,38,0.15789473684210525,38,4.734210526315789,1.0030433088126873,0.07894736842105263
2024,time series,63,63,0.3333333333333333,62,5.146505376344086,0.9893061998195548,0.06349206349206349
2024,transfer learning,109,109,0.23853211009174313,108,4.903086419753087,1.0861724038453333,0.08256880733944955
2024,transformers,156,156,0.33974358974358976,154,5.134415584415585,1.0868797117729423,0.14743589743589744
2024,vision-language models,86,86,0.37209302325581395,84,5.206547619047619,0.9276300929727199,0.06976744186046512
2025,CNNs,29,29,0.13793103448275862,28,3.957142857142857,0.9252168136041888,0.06896551724137931
2025,GANs,23,23,0.21739130434782608,23,4.491304347826087,0.9940152401788368,0.08695652173913043
2025,LLMs,1189,1189,0.32380151387720774,1167,5.190910760190966,1.0417636754009967,0.0941968040370059
2025,RL,272,272,0.3382352941176471,268,5.25634328358209,1.0698121309441504,0.1213235294117647
2025,RNNs,38,38,0.2894736842105263,38,4.658333333333334,1.1488173044488978,0.21052631578947367
2025,ViTs,31,31,0.2903225806451613,31,4.990322580645161,1.0030729986525295,0.0967741935483871
2025,active learning,39,39,0.2564102564102564,39,5.0807692307692305,1.111335086181315,0.07692307692307693
2025,adversarial,168,168,0.26785714285714285,166,4.974010327022375,1.0645860395004716,0.08928571428571429
2025,alignment,166,166,0.39156626506024095,164,5.336382113821138,1.1073587734349737,0.13855421686746988
2025,anomaly detection,33,33,0.3333333333333333,33,4.909090909090909,0.8229042035538991,0.06060606060606061
2025,autoencoders,50,50,0.22,50,4.742333333333334,1.05637026678308,0.1
2025,autonomous driving,54,54,0.2222222222222222,53,4.846540880503145,1.0457027407371164,0.07407407407407407
2025,causality,109,109,0.3394495412844037,107,5.218535825545171,1.1052488993110052,0.08256880733944955
2025,clustering,44,44,0.3181818181818182,43,5.158139534883722,1.0065202773840574,0.11363636363636363
2025,code generation,63,63,0.30158730158730157,63,4.9977324263038545,1.2320160493047123,0.19047619047619047
2025,compression,79,79,0.31645569620253167,79,5.194605183845691,0.954526285531524,0.08860759493670886
2025,continual learning,107,107,0.24299065420560748,105,4.802040816326531,1.0053223536584899,0.08411214953271028
2025,diffusion models,587,587,0.35093696763202725,585,5.2809890109890105,0.9438611064787663,0.08347529812606473
2025,explainability,95,95,0.2736842105263158,94,4.886170212765958,1.0707387009739857,0.09473684210526316
2025,fairness,62,62,0.27419354838709675,61,4.895901639344262,1.0730061817396195,0.0967741935483871
2025,federated learning,108,108,0.16666666666666666,108,4.51712962962963,0.9795560187688067,0.046296296296296294
2025,few-shot learning,16,16,0.0,16,4.594791666666667,1.1012413693239624,0.125
2025,graphs,298,298,0.29194630872483224,296,5.130686936936937,0.9752603478531178,0.07046979865771812
2025,imitation learning,43,43,0.46511627906976744,43,5.4147286821705425,1.0522366737811553,0.09302325581395349
2025,in-context learning,113,113,0.3185840707964602,112,5.270578231292517,1.131991735191922,0.12389380530973451
2025,interpretability,100,100,0.4,97,5.258787432498773,1.056815862273861,0.11
2025,knowledge distillation,60,60,0.3333333333333333,59,5.360169491525424,0.9383975085435858,0.06666666666666667
2025,knowledge graphs,39,39,0.2564102564102564,39,4.977350427350427,0.9735904232760404,0.07692307692307693
